"OBSRVTN_NB","DATETIME_DTM","PNT_NM","QUALIFIER_TXT","PNT_ATRISKNOTES_TX","PNT_ATRISKFOLWUPNTS_TX"
295333,"11/10/2022 10:30","SAFER Model","Review previous relevant experience","We discussed recent events involving a backing incident and a vehicle rolling that was not chocked. We discussed leading by example and ensuring that inexperienced employees are give the proper guidance by their elders to be successful. We discussed performing peer checks to verify important job tasks have been performed and always using wheel chocks and back up observers.",NA
189662,"11/15/2021 14:00","Did you recognize additional sprain or strain hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Body mechanics","Worker was attempting to access tailboard of bucket truck to retrieve preform wraps. [NAME] was unable to reach the materials from the ground at the rear of the truck. Truck had no steps on the rear of the truck. Worker used side steps to access the belly of the truck and needed to pass the boom's turret to reach the tailboard. [NAME] to housekeeping issues the worker chose to use the catwalk to pass the turret then lower himself under the stowed bucket. While the worker used good three points his body position could lead to a strain injury. Fortunately the work was agile and reached his destination. [NAME] recognized the hazard and assisted worker off the tailboard.",NA
6092,"5/8/2019 14:00","Vehicle Operating Condition (Forestry)","Other - Vehicle Operating Condition","Outrigger side box on driver side was partially detached due to rust. [NAME] was instructed to not place outrigger pads in this side box. Followed up with [NAME] [NAME] and outrigger side box was replaced withih 2 days.",NA
446840,"3/19/2024 10:33","Pre-Job Briefing","Energy-source controls identified","AWP did not have AEP approved PJB form. Discussed with [NAME] and suppled AEP T & Cs handbook. [NAME] did have AWP internal electronic forms and what I reviewed was accurate to work performed with right size roads, speeds, etc.","Chis to discuss with his local leadership and reach out if they have any questions. Also discussed getting with prime contractor in the morning for full day planning"
432380,"1/31/2024 10:55","Walking and Working areas","Other - Walking and Working areas","The transmission line cruise were parked on the side of the road with three signs out. There was no flagger on a residential street with a speed limit of 25 miles an hour. One lane of the road was blocked off due to a dump truck and a truck when I drove by this morning however, when I returned later this morning there was the foreman struck the dump truck, another truck and trailer as well as a line truck. These trucks exceeded where the flags have been placed, and there was no flagger to mitigate the larger work zone with the flow of traffic.",NA
335294,"3/29/2023 18:59","Excavation or Trench","Documented inspection prior to entry for each shift and when conditions change (e.g., rain, thaw, etc.), Other - Excavation or Trench","Proof of trench inspection could not be produced. [NAME] coached. Excavator Operator observed driving excavator on benched portion of trench. Operator coached.",NA
330706,"3/15/2023 14:00","Barricades around truck when required","Proper barricade","No barricade on equipment when worker and equipment was within minimum approach. Job stopped and findings addressed.",NA
57501,"9/30/2020 13:27","Workplace Conditions Addressed","Line of fire","When transferring phases from broken pole top over to new pole as employee cut it first phase free it swung towards him fast in the direction it was rigged to.",NA
328506,"3/8/2023 3:16","Opportunities To be More Effective","Improve Planning","Wshp plan was not ready available. First one produced was for continental sub. Took some time to find n Edinburg one after digging on computer. Suggested print a paper one out and have avail for crew.",NA
347935,"5/3/2023 16:06","Did you recognize additional sprain or strain hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes. 1","Aware of load weight before lifting, Hazard recognition","Employee attempting to pull veined up brush away from fence line. Coached the employee to cut the brush loose to help reduce the chance of overexerting.",NA
359653,"6/7/2023 13:00","Complete job briefing given","Other - Job Briefing","AWP was included in the APCO briefing, however AWP had started their briefing but was not complete. AWP crew was coached and briefing completed.",NA
438859,"2/20/2024 10:10","Housekeeping in order","Cleanliness","DICM needed swept. Dirt had accumulated from construction. I used the broom and dustpan to clean the control house before visitors arrived.","[NAME] discuss with my team the need to clean up DICMs at completion of construction."
320127,"2/7/2023 15:17","THA","THA lists step- by-step plan","Task was adjusting mechanical switch with a crew member on the ground and one in a Manlift. THA didnt mention the communication between the two employees to make sure the person on the ground is not in the drop zone while the other employee is working aloft.",NA
495940,"9/20/2024 10:22","Tools and equipment used correctly","Other - Tools and equipment","Hoist were out of date due to truck just returning from the garage. These were identified before use and a plan was made to get then inspected.",NA
122255,"7/20/2021 12:41","Personal Safety","Hazard recognition, Line of fire","[NAME] didnt recognize the hazard of setting the pole with no pole guards or Overshoes, Stopped the job and coached the crew on proper Technique of pole setting then had retraining",NA
65364,"11/9/2020 9:30","All applicable work procedures are followed","Other - Procedures","Grinder was going to be used without a face mask. Stopped and reminded employee of procedure while using grinder.",NA
465860,"5/29/2024 15:00","THA","Hazards and Mitigation Controls Identified, THA lists step- by-step plan","THA was not very description. Slip / trip / fall and pitch point was used. Overhead lines and associated control that were in place was not noted.",NA
322931,"2/21/2023 15:05","Equipment Operations near Energized Lines","Barricades present to prevent incidental step and/or touch potential, Documented planning meeting for working within Trigger Distances, Other - Equipment Operations near Energized Lines","Trigger distance form was completed but the energized lines Inserv was working under was not included on form. Inserv's truck was not barricaded for touch potential. [NAME] River drove a screw ground rod into the station to ground to, instead of grounding to the station grid.","All OFIs were discuss with both Inserv and [NAME] River. Equipment must be appropriate barricaded to protect from touch potential, and driving a ground rod into a station that already has an existing station grid, could cause difference of potential issues."
266950,"8/2/2022 10:00","Defensive driving","Seat belt","One employee was moving a truck from the street into the parking lot to access another pole without wearing a seatbelt. I reminded him to always wear his seatbelt when driving, even in short moves.",NA
328042,"3/7/2023 14:08","Cover up activities","Cover other energized potentials, Other - Cover up","[NAME] needed to install a rubber blanket on the system neutral one point rack. I asked crew to install one.",NA
223989,"3/14/2022 10:31","First Aid Kit","Inspection date","Expired items in kit. Talked with driver and advised him on having items out of date. [NAME] said he will get a new kit at the service center.",NA
197576,"12/10/2021 11:42","Complete job briefing given (Forestry)","Observer assigned, Other / Job Briefing","Spotter was not identified on the job briefing and I explained to the employee of the importance to identify that specific task. [NAME] tree safety coordinator was on site and they helped clarify the situation. The briefing was hard to read and not legible, it had multiple crews working off of it.",NA
38281,"6/11/2020 12:30","Vehicle Operating Condition (Forestry)","Other - Vehicle Operating Condition","This truck has been noted many times for various issues including cracked windshield, broken weld on step on rear of truck, grill held in place with rope. The windshield has been repaired. The foreman was working on the truck heater vents when I arrived. The blower motor is turned off but the vents won't close from the engine compartment resulting in a very warm cab while driving.","We are meeting with their supervisor on the job site on [NAME] 16th and plan to address these issues with him."
174655,"9/28/2021 11:46","Proper footwear","Other - Footwear","1 crew member had an exemption on approved footwear for now because of surgery. This is listed on the job briefing",NA
317278,"1/31/2023 9:49","Housekeeping in order (Forestry)","Job site hazards, Other - Housekeeping, Tripping Hazards - Closed doors, Walking / Working Surfaces","crew left pruner poles and stick saw on ground laying flat. should have put in truck or leaned them up to be more visible.",NA
491904,"9/5/2024 15:00","THA","Hazards and mitigation controls identified (THA)","No Direct Controls on observation hazards by TCRs & myself. We observed 4 - lane highway traffic not being aware of upcoming hazards. Dump trucks with stone unable to safety get off the road with out creating an unsafe condition for oncoming traffic. Signage, flagger & warning devices were not in compliance with WVMUTCD","Contacted contractor safety who immediately mitigated the unsafe condition."
427874,"1/12/2024 9:30","Did you recognize additional sprain or strain hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes. 1","Aware of load weight before lifting, Body mechanics","Employee began to lift a section of pole to move out of the right of way, another employee stopped them and then assisted in lifting and moving to avoid potential of overexertion.",NA
38431,"6/4/2020 13:21","Vehicle Operating Condition","Vehicle loading, truck trailer appropriate","make sure to secure all material including trash that is in the belly of the trucks so it doenst fall or blow out while moving",NA
43933,"7/13/2020 9:30","Effective Communication","Clear and effective","Asked for help, but did not give clear guidance of what he needed help with, until bucket was in position.",NA
31402,"4/27/2020 12:49","Circle of safety practices","Circle of Safety done just prior to departure.","Employee backing line truck failed to walk around truck and pick up chock, coached on circle of safety",NA
486263,"8/15/2024 11:46","Equipment Operations","Designated Spotter as needed (maintaining adequate clearance)","Employee was observed operating backhoe without spotter around vehicles / obstacle. Operator was stopped and advised to have spotter when needed.",NA
458101,"4/30/2024 13:50","PPE (Forestry)","Hearing protection adequate, Safety glasses adequate, Work gloves adequate","[NAME] did not have hearing protection while using chainsaw. Had perscription glasses that werent ohsa standard. Forgot gloves on the ground when he started to climb.",NA
161656,"6/25/2019 13:42","Crew review of the job after completion","Other - Crew review of job after completion","After lunch the crew reviewed THA without one employee. That employee had already went back to work. Had the crew stop review and get employee before going forward. Coached them on importance of making sure everyone is understanding the importance of reviewing the job with all employees for input.",NA
481488,"7/22/2024 13:53","Ladders in Compliance","Ladder secured, Other - Ladders in Compliance","Observed Circle L Fence employees were using Type 1 ladders for fence post installation ( Heavy [NAME] rated for 250 [NAME] ). Advised crew and NREC safety that the recommended ladder for commercial and heavy construction are Type 1A ladders ( Extra Heavy [NAME] rated at 300 pounds ). Instructed crew that weight of tooling and materials should be considered for access and the use of Extra Heavy - [NAME] ladders provides a greater range of coverage. Observed Circle L Fence employees were using Type 1 ladders for fence post installation ( Heavy [NAME] rated for 250 [NAME] ). Advised crew and NREC safety that the recommended ladder for commercial and heavy construction are Type 1A ladders ( Extra Heavy [NAME] rated at 300 pounds ). Instructed crew that weight of tooling and materials should be considered for access and the use of Extra Heavy - [NAME] ladders provides a greater range of coverage. Circle - L employee was observed working from a step ladder that had a slight lean due to gravel terrain. Two Circle - L employees were in the immediate area and were advised to help secure the ladder to prevent it from tipping. Corrected immediately.",NA
78624,"2/8/2021 10:53","COVID-19 - Face Coverings","Coaching on face coverings?","[NAME] member briefed me in and did not have a face covering on. Talked to the employee about our expectations on face coverings when talking with customers and public.",NA
304289,"12/12/2022 13:00","Complete job briefing given (Forestry)","Other / Job Briefing","There was no [NAME] production of the job briefing. While typically, the crew works only with primary Spanish speakers, it was noted that a single crew member augmenting was primarily an [NAME] speaker. I spoke at length to this individual and he indicated to me that he was briefed in [NAME] by bi - lingual crew member. Especially in cases where a worker is on a crew and does not have Spanish proficiency, a job briefing containing the same core content on par with the Spanish primary briefing should be produced, even if some of the technical nuance is duplicatable.",NA
92912,"4/6/2021 9:56","Housekeeping in order (Forestry)","Walking / Working Surfaces","[NAME] was working on side of a hill and would be walking up and down the hill for several hours during the work. The did not document on their Job briefing any details of the level of grading. So we talking about it and determined it was a level 4 grade and we added that information to the Job Briefing and notified the crew of the best plan for working on the grade.",NA
733,"1/20/2020 11:00","Opportunities To be More Effective","Hazard Recognition","Went over the slide mitigation plan with the contractor to ensure understanding, phasing, and completeness in work.",NA
379447,"7/31/2023 14:00","Walking and Working areas","Free of trash or debris","Trenwa was being installed out of normal sequence due to being received late. The crew was working around all the previously install electrical equipment and foundations. This made the work areas tight. [NAME] effort was required to remove obstacles as work progressed.",NA
181270,"10/15/2021 3:30","Proper Storage","Storage areas clean, Walkways free and clear","We are working to get a storage cabinet placed in the area to place all the tools when not in use. The long air lances are hard to store, but could be staged out of the way when not in use.",NA
128460,"8/2/2021 10:20","PPE","Other - PPE","Upon arrival the ground person was installing hardware on the Viper without hand protection. Then as one of the JL was making up jumpers while using hand & power tools he failed to wear hand protection.",NA
274672,"9/7/2022 9:18","Grinding Safety","Appropriate guards in place for the grinding disc in use","The employee was using a cutting disk but did not have the cup guard that covers the bottom side of the disk. I asked the employees if they were familiar with the guarding used for cutting disk. The employee said that he has seen them but was not sure if they had one. [NAME] agree to ask his supervisor and check into getting the proper guard.",NA
301036,"12/1/2022 10:30","PPE - Generation","Protect Hearing, Protect Respiratory System","Units were running and hearing protection was not used. Discussed hearing protection with employee and both agreed that it needed to be used. While sweeping the recommendation was made to wear a dust mask.",NA
308057,"12/20/2022 12:45","Appropriate work area traffic control (Forestry)","Sign spacing adequate","* [NAME] Area Ahead signs were a little far away on one end the work zone - addressed to the foreman",NA
303468,"12/8/2022 13:41","PPE - Workforce","AEP Required (Standard)","One of two crew members in lift conducting the installation of the switches overhead was not wearing gloves. Conditions were wet / rainy.","This was pointed out to crew members on ground who advised him he needed to have gloves on."
272889,"8/30/2022 13:00","PPE - Workforce","AEP Required (Standard)","Noticed skid steer operator placing mats without safety glasses on. Although in an enclosed cab I recommended wearing safety glasses due to moving mats and driving over uneven terrain in the event a the glass door or window broke.",NA
324085,"2/24/2023 14:45","Personal Safety (Forestry)","Line of fire","Three company issued drop zone cones were set out before felling pine tree but they were setup for typical drip edge plus of the tree. I coached GF and he in turn reminded / demonstrated the stick method for determining fell zones. The cones were subsequently moved to two times the height of the tree.",NA
132522,"8/24/2021 13:13","Equipment used properly within load and operating tolerances","Other - Equipment used properly","Spoke with crew about knowing the weight of the load to be lifted. This was a very good coaching moment explaining the use of our load charts that are on the trucks.",NA
159606,"5/7/2019 12:49","All applicable work procedures are followed","Other - Procedures","Open excavation for ground grid not barricaded. Cones and barricade tape present, but not in use. After crew moved equipment they put barricade tape up.",NA
327235,"2/28/2023 8:47","First Aid Kit","Completely stocked, Inspection date","[NAME] has First aid kit that had expired items according S & H policy G 4. 32. Employee said he will get a new one at service center.",NA
253916,"6/23/2022 8:32","PPE - Workforce","AEP Required (Standard)","[NAME] was not wearing safety glasses. [NAME] he wasnt wearing them was due to sweat. [NAME] put them on directly after being told",NA
262062,"7/27/2022 7:00","JHA-JSA Generation","All employee briefed on potential Hazards","Supervisor discussion after briefing to give feedback on quality of brief. Need to make sure tri - fold graded approach is discussed for each job. Need to make sure SIF icons are discussed and proper capacity is built into each task that has SIF hazards. Reviewed pre - job brief standard work and pre - job brief CORE visit scorecard.",NA
30738,"4/20/2020 14:30","All applicable work procedures are followed","Procedure being followed, work stopped","Although LineTech crew used pole guard and had good cover up on phases bare cross arms on pole being set encroached within the 40' minimum approach required to meet energized pole setting policy",NA
409202,"10/31/2023 11:00","Correct work area traffic control","Vests worn when required","Engineers were not wearing vests as they worked with TxDOT in the busy intersection. I explained to them and the service crew why vests should be worn, they were understanding and open minded about our conversation.",NA
288065,"10/18/2022 11:30","Complete job briefing given (Forestry)","Other / Job Briefing","Circuit was not listed. I brought this to their attention and it was fixed. There was a newer employee filling out the briefing.",NA
311305,"1/5/2023 9:40","Tools and equipment used correctly","Approved tool","I had a discussion with their safety professional who was at the work location, because upon my arrival the crews were using a phase wire holder attached to the jib in order to move 795 energized conductors. Through discussion he was informed that 5 - [NAME] had not supplied AEP with any documentation such as [NAME] Operating Procedures / Specific Use & Storage Requirements / Employee Training Requirements / Manufacturer's Instructions or Approval etc.... for review and approval of use on energized conductors.",NA
22886,"2/24/2020 12:35","Vehicle Set-up Correct (Forestry)","Wheel chocks used","One truck only had one wheel chock down while crew was parked for lunch. Addressed with crew members",NA
312286,"1/16/2023 11:30","Complete job briefing given","PIPE and PPE discussed","T - Stores material handler did not address PPE requirements with SMN Logistics truck driver until after he had already un - boomed the reels - asked driver to wear hard hat and safety glasses",NA
142742,"11/25/2019 14:30","Correct work area traffic control","Appropriate signs out","no end road work signs out, coached on putting signs out and got agreement that yhey will be installed",NA
323238,"2/21/2023 11:00","Complete job briefing given","Other - Job Briefing","[NAME] had left the date blank on their THA in certain sections and also had white out over some names. Their names were first. They stated that they had someone join their crew but then got pulled off which is fine. The date on one of the JSA had white out on it as well. [NAME] wanted to make sure they were writing up the job briefing and having discussions about each job they were preforming.","[NAME] filled in the dates and seemed to be receptive of what I wanted to see on the JSA and THA. Photos attached below. I edited out the names of the employees."
203872,"1/11/2022 10:15","PPE","Safety glasses adequate","The crew was back in the woods working on a ROW and three employees did not have safety glasses with them.",NA
166585,"8/22/2019 9:30","Personal Safety","Hazard recognition, Line of fire","lack of space for public vehicle to pass trucks on street, corrected at site, moved trucks a little further off street",NA
486440,"8/15/2024 21:31","Personal Fall Arrest System","Employee tied-off, Peer check been performed for tie-off, Tie off points engineered and/or capable of supporting 5000 pounds, Tied off to proper location","Two employees needed the proper tie - off equipment for the task. One was using straps to pick up material, and the other had a retractable lanyard and a yoyo fall arrest system attached to each other.","I informed the crew that they needed to remove one of the fall arrest systems because if someone were to fall, there was a risk of the arrest system failing. I also discussed using rigging straps, emphasizing the importance of using new straps designated specifically for fall protection."
197737,"12/10/2021 11:00","Fire extinguisher inspection up to date and was set off when required","Inspection up to date","Truck 660428 extinguisher has an expired annual inspection. Notified driver and he will get it swapped out at service center soon.",NA
92027,"4/1/2021 11:13","Correct work area traffic control","Appropriate signs out, Arrow board use","did not have proper sign with arrowboard, should have been merge and not one lane road. Checking to see we have proper signage at the garage",NA
415935,"11/27/2023 16:00","SAFER Model","Evaluate defenses and contingencies","Opportunity for NHPL safety man [NAME] to better position himself and truck where he can see and identify potential hazards while observing line work",NA
471115,"6/12/2024 12:25","Equipment - Setup &Inspection","Equipment set up on level terrain, tires chocked, outriggers fully extended and set on pads - Mechanical","[NAME] crew was using mini excavator bucket to transport a bag of rocks down a hill to use around hand hole. [NAME] area was tight and access was limited. [NAME] of hill was sandy and excavator was above crew holding bag open in order for crew to shovel out rock. Informed inspector and stopped crew. Discussed with foreman that personnel should not be placed below mini excavator in the event of a rollover and that they should not be under bucket. A new plan was made to access area.",NA
473807,"6/26/2024 9:15","PPE - Generation","Use of additional PPE","One employee preparing to run saw without safety glasses so I stopped him and he corrected immediately.",NA
474578,"6/27/2024 14:34","Personal Safety","Line of fire, Other - Personal Safety, Proper lifting, lowering and carrying, Stored energy","[NAME] was using a go track with a bucket attached on the boom. Lineman cut the top of the pole off and dropped it with a ceramic insulator on it.",NA
261756,"7/26/2022 10:31","PPE - Generation","Protect Head, Wearing eye protection","One employee not wearing a hardhat and did not have one onsite. Both employees were not wearing glasses.",NA
159612,"5/20/2019 15:00","Vehicle Operating Condition","Other - Vehicle Operating Condition","Coached FTE on proper stopping practices. FTE slammed trruck into park before coming to a complete stop.",NA
301586,"12/4/2022 13:46","THA","Signed by all parties on-site","Ground man on crew forgot to sign THA - Improvements made employee signed THA once brought to his attention","Must make sure all employees on crew review and sign THA so that they are aware of all the hazards associated with job being performed"
387065,"8/28/2023 11:45","Personal Safety (Forestry)","Hazard recognition, Line of fire, Posture and positioning","Spoke with ground crew due to the fact they were standing in the drop zone as [NAME] was being rigged down. Ground crew was standing behind adjacent tree during rigging operations inside DZ. [NAME] had no escape route if any issues occurred due. Spoke with GF about using a redirect to get the ground crew outside the DZ, crew stated they would reposition the truck to give ground crew room to work outside DZ.",NA
377171,"7/28/2023 14:01","Vehicle Operating Condition","Other - Vehicle Operating Condition","Like mentioned before. We talked about trash in the inside of truck. LMA cleaning it at the end of the day",NA
245109,"6/2/2022 10:00","Drilled Excavations","Fall Protection utilized inside guardrail area","Observed subcontractor enter guardrail system before tying off. A [NAME] crew member and myself stopped him right away and had discussion with him about tying off before entering.",NA
204111,"1/7/2022 13:29","Personal Safety","Other - Personal Safety","Coached employee that carrying pepper spray for dog protection was not enough, he started carrying his bite terminator as well as the pepper spray.",NA
422476,"12/18/2023 10:11","Backing safety","Back up observer","crew backed truck slightly backwards about 2 feet to get into a better position without a backer, discussion was had that you should always have a backer when backing",NA
439034,"2/13/2024 10:31","Workplace Conditions Addressed","Tripping Hazards","Spoke with employees in regards to Tripping hazards of cords in regards to cords laying on back of truck",NA
442688,"3/5/2024 9:32","Equipment Operations","Other - Equipment - Motion","[NAME] truck did not have the inspection tag for the fire extinguisher, maid driver and safety man aware of the issue. Safety went out and bought inspection tags and made sure the crews were doing their monthly inspection.",NA
33998,"5/13/2020 12:00","Defensive driving","Distractions while driving, Maintain 4 second following distance","Had conversation with driver about importance of following to close to vehicle ahead of them. Keeping two hands on wheel, and not eating or drinking while driving just the simple task of putting your drink back in the cup holder could cause a delay in your reaction time.",NA
47119,"8/6/2020 9:02","Vehicle Operating Condition (Forestry)","Warning and signaling devices","Drive side rear flasher was not working. [NAME] was aware of this and stated he informed the GF of this issue.",NA
422129,"12/13/2023 10:54","Equipment Operations near Energized Lines","Documented planning meeting for working within Trigger Distances","NREC was pouring concrete with the truck within the trigger distance from the energized line. No form was completed for the task. They were aware of the distance from the components and had the truck grounded.","Discussed the importance of the form and when to use it. Filled out the form during discussion."
445956,"3/19/2024 14:00","PPE","Hard hat adequate","The area we were working in was near the edge of the construction site and no hard hats were worn. Probably would have been a good idea to have the hard hat on during the visit.",NA
479344,"7/18/2024 14:28","Peer Coaching","Other - Peer Coaching","After task was completed, coached [NAME] about how he unstowed the auger and replaced the auger stow strap. Suggested another, easier, safer way to do it.",NA
471465,"6/18/2024 9:32","Complete job briefing given","911 Location, High energy hazards discussed and mitigated","No address or [NAME] Energy icons were documented, because this briefing form doesn't contain the information.",NA
160075,"6/28/2019 11:30","Correct work area traffic control","Other - Work Area Protection","Did not have out end of road work signs, they are not required for their part. The line crew did not catch this when the zone was set up.",NA
495960,"9/18/2024 7:00","PPE - Generation","Protect Feet","Boilermakers were wearing all required PPE, as well as additional PPE while sampling air quality while using oxygen lance rods.",NA
27147,"3/18/2020 16:00","PPE","Cut resistant gloves, Safety glasses adequate","2 CREW MEMBERS DID NOT HAVE THEIR GLOVES ON OR SAFETY GLASSES. I STOPPED WORK UNTIL THEY HAD ALL PPE NEEDED TO PROCEED WITH THE JOB.",NA
139543,"9/29/2019 15:00","Personal Safety","Stored energy","One employee made a risky cut stating it was the only way he could accomplish the task. No incident occurred by there was a lot of stored energy released when the branch was cut.",NA
391316,"9/7/2023 13:39","Miscellaneous Jobsite Requirements - Vegetation Forestry","Is the Business Partner in compliance with thier own policies and procedures","Spoke to 2 crew members about wearing hooped earrings. I also spoke with [NAME] Newhard and his group about chipping in front of the infeed table of the chipper.",NA
20127316,"5/29/2019 9:00","Complete job briefing given","Other - Job Briefing","Need to document information on job brief identifyong critical steps, error traps, consequences, and layers of protection.",NA
303471,"12/10/2022 16:57","THA","THA lists step- by-step plan","The THA lacked some information for the fence install, such as mentioning cutting the fiberglass - mesh wall sections with circular saws and the associated hazards / mitigation. This was brought up to the crew to make corrections.",NA
353959,"5/23/2023 11:30","THA","Other - THA","Confined Space identified on the SIF Icons. There is no confined space associated with the tasks on the THA",NA
362283,"6/14/2023 16:45","Fall Protection - Telecom","Personal fall protection in use [Work Platforms] - Gravity","Tech failed to latch harness before started asending in aerial lift, corrected immediately, safety stand down addressed the importance of, risk falling from heights in aerial lift",NA
330722,"3/15/2023 9:23","Personal Safety (Forestry)","Hazard recognition, Line of fire, Rushing","[NAME] approached the jarraff and climbed onto it to speak with the operator while the blade was in motion and being directed into a limb to stop its rotation. After their discussion ended, the trimmer began trimming prior to the foreman making it into the minimum safe zone of 300'.",NA
317904,"1/5/2023 9:00","PPE","Cut resistant gloves","Discussed knife use with crew cutting eel guard sections to install on conductor for animal protection. Suggested shears or a different tool especially when they were installing the material repetitively. [NAME] did use good knife cutting techniques always cutting away from their bodies",NA
362159,"6/14/2023 15:16","Emergency Action Plan","Location and directions (including maps) to the nearest medical facility, Other - Emergency Action Plan, Reviewed by all employees (EAP)","Once I asked for a WSHP and the crew did not have one to review with me. I asked for a EAP which no plan was available either. I explained that having the WSHP available would help the crew because the WSHP also has an Emergency Action Plan included with it. As it stands now, without the WSHP / EAP. Not even a map is available to assist anyone with getting to the medical facility. The NHPL Safety supervisor is onsite today and I explained that I will speak with him so you can get a Physical copy of the WSHP / EAP to help you in case the crew had a medical Emergancy. It also has addendum C's that cover are work tasks templates to review with the crew before they begin framing out structure arms.",NA
428464,"1/15/2024 10:30","Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Awareness of environment","I reminded the employees to be mindful of the winter weather accumulation on the edge of the dock and on the dock steps. They understood and stated that they'd use three points of contact if they had to step off of the dock.",NA
9925,"9/4/2019 11:00","Fall protection used when required (Forestry)","Other - Fall protection","Oracio did not have figure 8 tied in the end of his climbing line and was tied in borderline to half the length of the rope.",NA
214431,"2/23/2022 13:55","Ergonomics - Generation","Can the task ergonomics be improved, Proper stance","Employees where asked what the MELA was for the task of removing insulation from the 4000V connection ring. They said they needed to raise the part off the floor so it would be right at hand height that way they could have a proper stance plus it would let them move around the part more freely.",NA
326588,"3/2/2023 10:36","Walking and Working areas","Other - Walking and Working areas","Need caution tape / signage installed on the back of energized panels adjacent to panels being worked on",NA
177347,"9/27/2021 9:10","PPE (Forestry)","Safety glasses adequate","Employee in bucket cutting with pole saw wearing non - safety rated prescription glasses. [NAME] immediately supplied him with safety glasses.",NA
262903,"7/28/2022 13:54","Equipment - Tools &Equipment","Other - Equipment","Generator in full operation. No fire extinguisher near by in case of a fire. [NAME] placed a fire extinguisher 50 feet from generator.",NA
348226,"5/4/2023 11:00","Effective Communication","Other - Communication","Notified [NAME] [NAME] twice conductive materials while working lines ( jewelry ) are not allowed while working primary line and still worked the power lines with jewelry on.",NA
213548,"2/15/2022 13:30","Vehicle Operating Condition","Warning and signaling devices","Warning flag on the end of the poles on the truck was very worn. Replacement was discussed and agreed upon.",NA
462253,"5/7/2024 9:00","PPE","Chaps adequate, Work gloves adequate","One employee observed using a chain saw on the ground without chaps. We coached them to wear their chaps anytime they are operating a saw on the ground. We also coached an employee to wear his work gloves while handling the hand line.",NA
59798,"10/15/2020 14:15","Stop When Uncertain","Other - Stop When Uncertain","After getting a job briefing from the foreman on the job site. The crews task was to change a set a double arms with 2 Alum three phase slack span. After looking over the job I noticed that phase B had a partial tension service sleeve mid span. I informed the foreman to stop the job and make repairs before continuing to change out the cross arms.",NA
177566,"10/6/2021 2:14","PPE - Generation","Use of additional PPE","I noticed [NAME] needed a step in order to enter the coupling standard. I went the tool trailer and obtained a step ladder to assist her while enter the standard. This reduced the risk associated with her stepping off the lagging into the standard.",NA
370064,"7/6/2023 10:00","Silica Hazards","Other - Silica Hazards","[NAME] concrete with walk behind saw with no water being used creating cloud of silica dust. Spoke with operator and they had another employee apply water while continuing to saw.",NA
466187,"4/10/2024 15:30","Housekeeping - Generation","Other - Housekeeping","once the exhaust hood is removed care must be taken not to drop anything in the condenser. tools should be secured and away from the opening.",NA
45291,"7/27/2020 12:45","Aerial Devices - Personal Protective Equipment","Does the PPE properly fit?, Was the proper PPE worn?","[NAME] hearing protection needed when using chainsaw. Discussion with crew and understood the importance.",NA
68394,"12/9/2020 10:15","Tree Felling - Personal Protective Equipment","Was the proper PPE worn?","Trimmer was not wearing his gloves, he asked us if this was an OSHA "" "" thing "" "" we told employee that gloves is a AEP / PSO requirement and employee never put his gloves on. We called and discussed this situation with [NAME] safety person and informed [NAME] [NAME].",NA
257385,"7/11/2022 15:18","PPE - Generation","Wearing eye protection","coached employee about wearing safety glasses and simply wiping them off frequently when working around water vapor or in a humid environment.",NA
117638,"6/8/2021 10:30","PPE","Hard hat adequate","Arrived at the jobsite to find that no one on the crew was wearing a hard hat while making URD terminations with the mini excavator operating directly adjacent to the padmount transformer. Discussed the issue with the crew and later with the DSS",NA
39090,"6/18/2020 10:33","Barricades around truck when required","Proper barricade","Need to make a better system for barricade trucks. when driving up its the first thing i see the barricades down. This is a ongoing thing with LineTec.",NA
376275,"7/26/2023 14:30","Equipment Operations","Designated Spotter as needed (maintaining adequate clearance)","Spoke to [NAME] about ensuring more spotters are available when multiple rock trucks are moving in congested work area.","Identified and corrected"
79297,"2/17/2021 10:30","Vehicle Operating Condition (Forestry)","Other - Vehicle Operating Condition, Vehicle loading, truck trailer appropriate","Chipper was missing curtain / flaps and Emergency pull rope ( last chance cable ). General foreman is aware and will make corrections.",NA
457038,"4/23/2024 10:05","Complete job briefing given","Communicate understanding of tasks","The team had all proper documentation, but didn't have a good understanding of what the line crew was doing. The crew closed off the roadway for no reason. I discussed with the team about making sure they knew what needed to be done.",NA
478557,"7/16/2024 12:47","Housekeeping - Telecom","Flammable liquids are properly labeled, Flammable liquids are stored in approved containers","Chemicals improperly stored in secondary bottles with no labels, expressed the need to get this fixed. [NAME] said they will do it.",NA
224590,"3/28/2022 14:00","Personal Safety (Forestry)","Hazard recognition, Proper barricade of work area/ fall zone","No visible drop zone markings. Foremen entered the cab of bucket truck while operator cutting from bucket near lines.",NA
